20x8000453L 20x80001d0L
40x8000349L 40x8000350L
50x8000186L 50x8000000L
50x800036aL 50x80001c0L
230x8000329L 230x8000330L
320x8000723L 320x8000000L
320x80007a9L 320x8000000L
320x8001b74L 320x8000000L
340x8000966L 340x8000060L
340x8000df0L 340x8000060L
340x80011eeL 340x8000060L
340x8001973L 340x8000060L
340x8001b06L 340x8000060L
340x8001bddL 340x8000060L
340x8001c9fL 340x8000060L
340x8001806L 340x8000200L
340x8001af2L 340x8000200L
340x8001c23L 340x8000200L
340x800065cL 340x80002d0L
340x8000cceL 340x80002d0L
340x8001b60L 340x80002d0L
340x8001bbbL 340x80002d0L
340x8001ac3L 340x80005b0L
340x8001f34L 340x80005b0L
340x8001faeL 340x80005b0L
370x8001a1eL 370x8000000L
450x80007acL 450x8000400L
450x8000b6eL 450x8000780L
450x8000dc5L 450x8000780L
550x8000238L 550x8000000L
560x8000883L 560x8000060L
560x8000942L 560x8000060L
560x80009a0L 560x8000060L
560x80009edL 560x8000060L
560x8000b22L 560x8000060L
560x8000b97L 560x8000060L
560x8000d28L 560x8000060L
560x8000ecdL 560x8000060L
560x8000f7cL 560x8000060L
560x8000fd0L 560x8000060L
560x8001138L 560x8000060L
560x80011e1L 560x8000060L
560x800122fL 560x80008c0L
640x80007f4L 640x8000000L
640x8000831L 640x8000000L
640x800087bL 640x8000000L
640x8000862L 640x80000b0L
640x8000f8bL 640x80000b0L
650x80002ecL 650x80002f0L
780x80001f9L 780x8000000L
780x800088aL 780x8000000L
780x80008caL 780x8000000L
780x80008f9L 780x8000000L
780x800092eL 780x8000000L
780x8000aa7L 780x8000000L
780x8000af8L 780x8000000L
780x8000c65L 780x8000000L
780x8000cb3L 780x8000000L
780x8000e31L 780x8000000L
780x8000e85L 780x8000000L
780x8001018L 780x8000000L
780x8001072L 780x8000000L
780x80011fcL 780x8000000L
780x800124dL 780x8000000L
780x80013beL 780x8000000L
780x800140dL 780x8000000L
780x8001568L 780x8000000L
780x80015b6L 780x8000000L
780x8000ba9L 780x8000bb0L
780x8000f1fL 780x8000f20L
780x800111cL 780x8001120L
790x80004fbL 790x8000000L
790x800056bL 790x8000000L
790x80005dbL 790x8000000L
790x800064bL 790x8000000L
790x80006e6L 790x8000000L
790x8000787L 790x8000000L
790x8000790L 790x8000000L
790x80001a1L 790x80001b0L
830x80002c5L 830x8000020L
830x800020aL 830x8000210L
910x8000160L 910x8000000L
910x8000180L 910x8000000L
910x8000149L 910x8000150L
920x80004a3L 920x8000280L
920x8000421L 920x8000430L
940x80012feL 940x8000070L
940x80013c2L 940x8000070L
940x8001420L 940x8000070L
940x800146dL 940x8000070L
940x80015a2L 940x8000070L
940x8001617L 940x8000070L
940x80017a0L 940x8000070L
940x80018b0L 940x8000070L
940x8001a84L 940x8000070L
940x8001b44L 940x8000070L
940x8001bc0L 940x8000070L
940x80017caL 940x8001240L
940x80017ebL 940x8001340L
950x8000051L 950x8000060L
950x80000b1L 950x80000c0L
950x8002c53L 950x8000150L
950x8002d92L 950x8000150L
950x8002df0L 950x8000150L
950x8002e3dL 950x8000150L
950x8002f72L 950x8000150L
950x8002fe7L 950x8000150L
950x8003190L 950x8000150L
950x80032f0L 950x8000150L
950x8003445L 950x8000150L
950x8003624L 950x8000150L
950x80036f4L 950x8000150L
950x8003770L 950x8000150L
950x8003907L 950x8000150L
950x8003aeaL 950x8000150L
950x8003bbcL 950x8000150L
950x8003c44L 950x8000150L
950x8002c6dL 950x8002ba0L
950x8002ccdL 950x8002ba0L
950x80031afL 950x8002ba0L
950x800330fL 950x8002ba0L
950x800321fL 950x8002d10L
950x800336fL 950x8002d10L
960x800ce04L 960x8000240L
960x800cfc5L 960x8000240L
960x800d020L 960x8000240L
960x800d070L 960x8000240L
960x800d1adL 960x8000240L
960x800d21fL 960x8000240L
960x800d410L 960x8000240L
960x800d610L 960x8000240L
960x800d833L 960x8000240L
960x800db74L 960x8000240L
960x800dc7dL 960x8000240L
960x800ddb8L 960x8000240L
960x800dfe3L 960x8000240L
960x800e324L 960x8000240L
960x800e45dL 960x8000240L
960x800e598L 960x8000240L
960x800ce2dL 960x800cc70L
960x800cecdL 960x800cc70L
960x800d437L 960x800cc70L
960x800d633L 960x800cc70L
960x800ce11L 960x800ce20L
960x800d4efL 960x800cf40L
960x800d6c7L 960x800cf40L
990x80008e6L 990x8000000L
990x8000989L 990x8000000L
990x800233cL 990x8000000L
1080x800058dL 1080x8000050L
1080x8000688L 1080x8000050L
1080x80006c4L 1080x8000050L
1080x80000c1L 1080x80000d0L
1150x800016fL 1150x8000000L
1200x8000029L 1200x8000030L
1200x8000059L 1200x8000060L
1200x80000afL 1200x80000b0L
1200x800011aL 1200x8000120L
1200x8000149L 1200x8000150L
1200x800017bL 1200x8000180L
